Description,Index
"La vie litteraire, by Anatole France                                     
 [Subtitle: Troisieme serie]
 [Language: French]",19345
"La vie litteraire, by Anatole France                                     
 [Subtitle: Deuxieme serie]
 [Language: French]",19344
"La vie litteraire, by Anatole France                                     
 [Subtitle: Premiere serie]
 [Language: French]",19249
"Opinions sociales, by Anatole France                                     
 [Language: French]",19248
"Les opinions de M. Jerome Coignard, by Anatole France                    
 [Subtitle: Recueillies par Jacques Tournebroche]
 [Language: French]",19233
"Le fauteuil hante, by Gaston Leroux                                      
 [Language: French]",19035
"Jean-Jacques Rousseau, by Jules Lemaitre                                 
 [Language: French]",18996
"La San-Felice, Tome VI, by Alexandre Dumas                               
 [Language: French]",18826
"La San-Felice, Tome V, by Alexandre Dumas                                
 [Language: French]",18773
"Hokousai, by Edmond de Goncourt                                          
 [Subtitle: L'art japonais au XVII SiŠcle]
 [Language: French]",18724
"Le capitaine Pamphile, by Alexandre Dumas                                
 [Language: French]",18697
"La San-Felice, Tome IV, by Alexandre Dumas                               
 [Language: French]",18586
"Abrege de l'Histoire Universelle depuis Charlemagne jusques              
 a Charlequint, Tome Premier, by Voltaire
 [Language: French]",18543
"La San-Felice, Tome III, by Alexandre Dumas                              
 [Language: French]",18402
"La San-Felice, Tome II, by Alexandre Dumas                               
 [Language: French]",18401
"La petite roque, by Guy de Maupassant                                    
 [Language: French]",18353
"Acte, by Alexandre Dumas                                                 
 [Language: French]",18321
"Georges, by Alexandre Dumas                                              
 [Language: French]",18271
"Servitude et grandeur militaires, by Alfred de Vigny                     
 [Language: French]",18211
"Simon, by George Sand                                                    
 [Language: French]",18205
"Le Collier de la Reine, Tome II, by Alexandre Dumas                      
 [Language: French]",18200
"Le Collier de la Reine, Tome I, by Alexandre Dumas                       
 [Language: French]",18199
"Smarra ou les demons de la nuit, by Charles Nodier                       
 [Subtitle: Songes romantiques]
 [Language: French]",18083
"Mademoiselle La Quintinie, by George Sand                                
 [Language: French]",18075
"Journal des Goncourt (Troisieme serie, troisieme volume),                
 by Edmond de Goncourt
 [Subtitle: Memoires de la vie litteraire]
 [Language: French]",18055
"Le chevalier d'Harmental, by Alexandre Dumas                             
 [Language: French]",18028
"Le Chevalier de Maison-Rouge, by Alexandre Dumas                         
 [Language: French]",18006
"La femme au collier de velours, by Alexandre Dumas                       
 [Language: French]",18003
"Le comte de Monte-Cristo, Tome IV, by Alexandre Dumas                    
 [Language: French]",17992
"Le comte de Monte-Cristo, Tome III, by Alexandre Dumas                   
 [Language: French]",17991
"Le comte de Monte-Cristo, Tome II, by Alexandre Dumas                    
 [Language: French]",17990
"Le comte de Monte-Cristo, Tome I, by Alexandre Dumas                     
 [Language: French]",17989
"Journal des Goncourt (Troisieme serie, deuxieme volume),                 
 by Edmond de Goncourt
 [Subtitle: Memoires de la vie litteraire]
 [Language: French]",17947
"Fables de La Fontaine, Tome Second, by Jean de La Fontaine               
 [Language: French]",17942
"Fables de La Fontaine, Tome Premier, by Jean de La Fontaine              
 [Language: French]",17941
"Mistress Branican, by Jules Verne                                        
 [Language: French]",17914
"Legendes rustiques, by George Sand                                       
 [Language: French]",17911
"Une ville flottante, by Jules Verne                                      
 [Language: French]",17832
"L'île à hélice, by Jules Verne                                           
 [Language: French]",17798
"Le pays des fourrures, by Jules Verne                                    
 [Language: French]",17796
"La derniŠre Aldini, by George Sand                                       
 [Subtitle: Simon]
 [Language: French]",17795
"Journal des Goncourt, Troisième série, premier volume,                   
 by Edmond de Goncourt
 [Subtitle: Mémoires de la vie littéraire]
 [Language: French]",17746
"La San-Felice, Tome I, by Alexandre Dumas                                
 [Language: French]",17693
"L'archipel en feu, by Jules Verne                                        
 [Language: French]",17660
"Journal d'un voyageur pendant la guerre, by George Sand                  
 [Language: French]",17589
"Sacountala (1858), by Théophile Gautier                                  
 [Subtitle: ballet-pantomime en deux actes
  / tiré du drame indien de Calidasâ]
 [Language: French]",17578
"Son Excellence Eugène Rougon, by Émile Zola                              
 [Language: French]",17557
"La curée, by Émile Zola                                                  
 [Language: French]",17553
"Les femmes d'artistes, by Alphonse Daudet                                
 [Language: French]",17550
"Le rêve, by Émile Zola                                                   
 [Language: French]",17533
"Les misérables Tome V: Jean Valjean, by Victor Hugo                      
 [Language: French]",17519
"Les misérables Tome IV: L'idylle rue Plumet ... rue Saint-Denis,         
 by Victor Hugo
 [Subtitle: L'idylle rue Plumet et l'épopée rue Saint-Denis]
 [Language: French]",17518
"L'oeuvre, by Émile Zola                                                  
 [Language: French]",17517
"L'argent, by Émile Zola                                                  
 [Language: French]",17516
"Journal des Goncourt (Deuxième série, troisième volume),                 
 by Edmond de Goncourt
 [Subtitle: Mémoires de la vie littéraire]
 [Language: French]",17505
"Les misérables Tome III: Marius, by Victor Hugo                          
 [Language: French]",17494
"Les misérables Tome II: Cosette, by Victor Hugo                          
 [Language: French]",17493
"Les misérables Tome I: Fantine, by Victor Hugo                           
 [Language: French]",17489
"Une vie, by Guy de Maupassant                                            
 [Language: French]",17457
"Journal des Goncourt (Deuxième série, deuxième volume),                  
 by Edmond de Goncourt
 [Subtitle: Mémoires de la vie littéraire]
 [Language: French]",17420
"Histoire comique, by Anatole France                                      
 [Language: French]",17345
"Germinie Lacerteux, by Edmond de Goncourt and Jules de Goncourt          
 [Language: French]",17285
"Correspondance de Chateaubriand avec la marquise de Vichet,              
 by François-René de Chateaubriand et Marie-Louise de Vichet
 [Subtitle: Un dernier amour de René]
 [Language: French]",17261
"Valentine, by George Sand                                                
 [Language: French]",17251
"Journal des Goncourt (Deuxième série, premier volume),                   
 by Edmond de Goncourt
 [Subtitle: Mémoires de la vie littéraire]
 [Language: French]",17238
"La comtesse de Rudolstadt, by George Sand                                
 [Language: French]",17225
"Journal des Goncourt (Troisième volume), by Edmond de Goncourt,          
 and Jules de Goncourt
 [Subtitle: Mémoires de la vie littéraire]
 [Language: French]",17123
"Ubu Roi, by Alfred Jarry                                                 
 [Subtitle: ou les Polonais]
 [Language: French]",16884
"Au bonheur des dames, by Émile Zola                                      
 [Language: French]",16852
"Numa Roumestan, by Alphonse Daudet                                       
 [Subtitle: Moeurs Parisiennes]
 [Language: French]",16848
"Le village aérien, by Jules Verne                                        
 [Language: French]",16827
"Face au drapeau, by Jules Verne                                          
 [Language: French]",16826
"Le Journal d'une Femme de Chambre, by Octave Mirbeau                     
 [Language: French]",16820
"Lucrezia Floriani, by George Sand                                        
 [Language: French]",16286
"La Vénus d'Ille, by Prosper Mérimée                                      
 [Language: French]",16240
"Colomba, by Prosper Mérimée                                              
 [Language: French]",16239
"La mort de Cesar, by Voltaire                                            
 [Subtitle: Tragédie en trois actes - avec les changemens
  fait par le citoyen Gohier ministre de la justice]
 [Language: French]",15805
"La mort de Cesar, by Voltaire                                            
 [Language: French]",15804
"Nord contre sud, by Jules Verne                                          
 [Language: French]",15646
"Port-Tarascon, by Alphonse Daudet                                        
 [Subtitle: Dernières aventures de l'illustre Tartarin]
 [Language: French]",15645
"Jean Ziska, by George Sand                                               
 [Language: French]",15584
"Le capitaine Paul, by Alexandre Dumas                                    
 [Language: French]",15574
"Le parfum de la Dame en noir, by Gaston Leroux                           
 [Language: French]",15554
"Francia; Un bienfait n'est jamais perdu, by George Sand                  
 [Language: French]",15397
"Leone Leoni, by George Sand                                              
 [Language: French]",15388
"Teverino, by George Sand                                                 
 [Language: French]",15287
"Spiridion, by George Sand                                                
 [Language: French]",15239
"Oeuvres illustrees de George Sand, by George Sand                        
 [Subtitle: Les visions de la nuit dans les campagnes
   - La vallee noire - Une visite aux catacombes]
 [Language: French]",15235
"Nanon, by George Sand                                                    
 [Subtitle: La bibliotheque precieuse]
 [Language: French]",15226
"Les mille et un fantomes, by Alexandre Dumas                             
 [Language: French]",15208
"Un billet de loterie, by Jules Verne                                     
 [Language: French]",15203
"La maison à vapeur, by Jules Verne                                       
 [Subtitle: Voyage à travers l'Inde septentrionale]
 [Language: French]",14810
"La Jangada, by Jules Verne                                               
 [Subtitle: Huit cent lieues sur l'Amazone]
 [Language: French]",14806
"Journal des Goncourt (Deuxieme Volume), by Edmond de Goncourt            
 and Jules de Goncourt
 [Subtitle: Memoires de la vie literaire]
 [Language: French]",14803
"Journal des Goncourt (Premier Volume), by Edmond de Goncourt             
  and Jules de Goncourt
 [Subtitle: Memoires de la vie literaire]
 [Language: French]",14799
"La vie errante, by Guy de Maupassant                                     
 [Language: French]",14793
"Contes du jour et de la nuit, by Guy de Maupassant                       
 [Illustrator: Paul Cousturier]
 [Language: French]",14790
"Un hiver a Majorque, by George Sand                                      
 [Language: French]",14688
"Cesarine Dietrich, by George Sand                                        
 [Language: French]",14564
"Autour de la table, by George Sand                                       
 [Language: French]",14372
"L'ile mysterieuse, by Jules Verne                                        
 [Language: French]",14287
"Les enfants du capitaine Grant, by Jules Verne                           
 [Language: French]",14163
"Les tribulations d'un chinois en Chine, by Jules Verne                   
 [Language: French]",14162
"Bouvard et Pecuchet, by Gustave Flaubert                                 
 [Language: French]",14157
"Dictionnaire des idees recues, by Gustave Flaubert                       
 [Language: French]",14156
"Madame Bovary, by Gustave Flaubert                                       
 [Language: French]",14155
"La Daniella, Vol. 2, by George Sand                                      
 [Language: French]",14038
"Vingt ans apres, by Alexandre Dumas                                      
 [Language: French]",13952
"Les trois mousquetaires, by Alexandre Dumas                              
 [Language: French]",13951
"Le vicomte de Bragelonne, Tome IV, by Alexandre Dumas                    
 [Language: French]",13950
"Le vicomte de Bragelonne, Tome III, by Alexandre Dumas                   
 [Language: French]",13949
"Le vicomte de Bragelonne, Tome II, by Alexandre Dumas                    
 [Language: French]",13948
"Le vicomte de Bragelonne, Tome I, by Alexandre Dumas                     
 [Language: French]",13947
"La Daniella, Vol. I, by George Sand                                      
 [Language: French]",13917
"Le meunier d'Angibault, by George Sand                                   
 [Language: French]",13892
"Correspondance, 1812-1876, Tome 4, by George Sand                        
 [Language: French]",13875
"Regrets sur ma vieille robe de chambre, by Denis Diderot                 
 [Subtitle: Ou, Avis A Ceux Qui Ont Plus De Gout Que De Fortune]
 [Language: French]",13863
"Le neveu de Rameau, by Denis Diderot                                     
 [Language: French]",13862
"La reine Margot - Tome II, by Alexandre Dumas, Pere                      
 [Language: French]",13857
"La reine Margot - Tome I, by Alexandre Dumas, Pere                       
 [Language: French]",13856
"Correspondance, Vol. 5, 1812-1876, by George Sand                        
 [Language: French]",13839
"Correspondance, Vol. 3, 1812-1876, by George Sand                        
 [Language: French]",13838
"Correspondance, Vol. 2, 1812-1876, by George Sand                        
 [Language: French]",13837
"Sapho, by Alphonse Daudet                                                
 [Language: French]",13825
"Les compagnons de Jehu, by Alexandre Dumas                               
 [Language: French]",13819
"Jacques, by George Sand                                                  
 [Language: French]",13818
"Les etranges noces de Rouletabille, by Gaston Leroux                     
 [Language: French]",13772
"Le mystere de la chambre jaune, by Gaston Leroux                         
 [Language: French]",13765
"Isidora, by George Sand                                                  
 [Language: French]",13744
"George Sand et ses amis, by Abert Le Roy                                 
 [Language: French]",13737
"Horace, by George Sand                                                   
 [Language: French]",13671
"Le chateau des Desertes, by George Sand                                  
 [Language: French]",13668
"Elle et lui, by George Sand                                              
 [Language: French]",13653
"Correspondance, Vol. 1, 1812-1876, by George Sand                        
 [Language: French]",13629
"La Esmeralda, by Victor Hugo                                             
 [Language: French]",13628
"Une histoire d'Amour, by Paul Marieton                                   
 [Subtitle: George Sand and A. de Musset,
  Documents in‚dits, Lettres de Musset
 [Language: French]",13622
"L'Uscoque, by George Sand                                                
 [Language: French]",13592
"Andre, by George Sand                                                    
 [Language: French]",13431
"Gabriel, by George Sand                                                  
 [Language: French]",13380
"Consuelo, Vol. 3, 1861, by George Sand                                   
 [Language: French]",13374
"Kourroglou, by George Sand                                               
 [Language: French]",13303
"Valvedre, by George Sand                                                 
 [Language: French]",13263
"Consuelo, Vol. 2, 1861, by George Sand                                   
 [Language: French]",13258
"Le petit chose, by Alphonse Daudet                                       
 [Language: French]",13256
"Nouvelles lettres d'un voyageur, by George Sand                          
 [Language: French]",13198
"Dialogue aux enfers entre Machiavel et Montesquieu, by Maurice Joly      
 [Subtitle: ou la politique de Machiavel au XIXe
  Siecle par un contemporain]
 [Language: French]",13187
"George Sand, by Elme Caro                                                
 [Language: French]",13038
"La Marquise, by George Sand                                              
 [Language: French]",13025
"Lavinia, by George Sand                                                  
 [Language: French]",13016
"L'Immortel, by Alphonse Daudet                                           
 [Language: French]",12950
"Promenades autour d'un village, by George Sand                           
 [Language: French]",12889
"Metella, by George Sand                                                  
 [Language: French]",12869
"Mattea, by George Sand                                                   
 [Language: French]",12865
"Aldo le rimeur, by George Sand                                           
 [Language: French]",12862
"Cora, by George Sand                                                     
 [Language: French]",12837
"Le nabab, tome II, by Alphonse Daudet                                    
 [Language: French]",12727
"Le nabab, tome I, by Alphonse Daudet                                     
 [Language: French]",12726
"Consuelo, Vol. 1, 1861, by George Sand                                   
 [Language: French]",12666
"Le peche de Monsieur Antoine, Vol. 2, by George Sand                     
 [Language: French]",12534
"Sans dessus dessous, by Jules Verne                                      
 [Language: French]",12533
"L'Orco, by George Sand                                                   
 [Language: French]",12448
"Pauline, by George Sand                                                  
 [Language: French]",12447
"Le peche de Monsieur Antoine I, by George Sand                           
 [Language: French]",12367
"Contes d'une grand-mere, by George Sand                                  
 [Language: French]",12338
"Trois contes, by Gustave Flaubert                                        
 [Language: French]",12065
"Monsieur Parent, by Guy de Maupassant                                    
 [Subtitle: Et autres histoires courtes]
 [Language: French]",12011
"Aventures du Capitaine Hatteras, by Jules Verne                          
 [Language: French]",11927
"Lettres de mon moulin, by Alphonse Daudet                                
 [Language: French]",11770
"Contes de la Becasse, by Guy de Maupassant                               
 [Language: French]",11714
"La rotisserie de la Reine Pedauque, by Anatole France                    
 [Author a.k.a. Anatole Francois Thibault]
 [Language: French]",11645
"Mlle Fifi, by Guy de Maupassant                                          
 [Subtitle: Nouveaux Contes]
 [Language: French]",11597
"La Maison Tellier, by Guy de Maupassant                                  
 [Language: French]",11596
"Le Docteur Ox, by Jules Verne                                            
 [Subtitle: Le Docteur Ox; Maetre Zacharius; Un drame dans les airs;
  Un hivernage dans les glaces; Quarantisme ascension francaise au
  Mont-Blanc, par Paul Verne]
 [Language: French]",11589
"La Main Gauche, by Guy de Maupassant                                     
 [Language: French]",11495
"Le pilote du Danube, by Jules Verne                                      
 [Language: French]",11484
"Fort comme la mort, by Guy de Maupassant                                 
 [Language: French]",11450
"Claire de Lune, by Guy de Maupassant                                     
 [Language: French]",11199
"L'inutile beaute, by Guy de Maupassant                                   
 [Language: French]",11175
"Pierre et Jean, by Guy de Maupassant                                     
 [Language: French]",11131
"La tentation de Saint Antoine, by Gustave Flaubert                       
 [Language: French]",10982
"Le Horla and Other Stories, by Guy de Maupassant                         
 [Language: French]",10775
"Boule de Suif, by Guy de Maupassant                                      
 [Language: French]",10746
"Tartarin de Tarascon, by Alphonse Daudet                                 
 [Language: French]",10687
"Pierre Noziere, by Anatole France                                        
 [Language: French]",10160
"Hernani, by Victor Hugo                                                   
 [Language: French]",9976
"Quatrevingt-Treize, by Victor Hugo                                        
 [Language: French]",9645
"Littérature et Philosophie mêlées, by Victor Hugo                         
 [Language: French]",9644
"La dame de Monsoreau v.3, by Alexandre Dumas                              
 [Language: French]",9639
"La dame de Monsoreau v.2, by Alexandre Dumas                              
 [Language: French]",9638
"La dame de Monsoreau v.1, by Alexandre Dumas                              
 [Language: French]",9637
"Le corricolo, by Alexandre Dumas                                          
 [Language: French]",9262
"Le Speronare, by Alexandre Dumas                                          
 [Language: French]",8863
"Le Capitaine Arena:  Vol. 1, by Alexandre Dumas, Pere                     
 [Language: French]",8693
"Le Capitaine Arena:  Vol. 2, by Alexandre Dumas, Pere                     
 [Language: French]",8692
"L'Île Des Pingouins, by Anatole France                                    
 [Language: French]",8524
"Actes et Paroles, Vol. 4, by Victor Hugo                                  
 [Subtitle: Depuis l'exil 1876-1885]
 [Language: French]",8490
"Actes et Paroles, vol. 3, by Victor Hugo                                  
 [Language: French]",8454
"Actes et Paroles vol. II, by Victor Hugo                                  
 [Subtitle: Pendant l'exil 1852-1870]
 [Language: French]",8453
"Nouveaux Contes à Ninon, by Émile Zola                                    
 [Language: French]",8416
"Actes et Paroles, Vol. 1, by Victor Hugo                                  
 [Language: French]",8186
"Kéraban-Le-Têtu, Tome 2, by Jules Verne                                   
 [Language: French]",8175
"Kéraban-Le-Têtu, Tome 1, by Jules Verne                                   
 [Language: French]",8174
"Les Quarante-Cinq, Tome 3, by Alexandre Dumas                             
 [Language: French]",7772
"Les Quarante-Cinq, Tome 2, by Alexandre Dumas                             
 [Language: French]",7771
"Les Quarante-Cinq, Tome 1, by Alexandre Dumas                             
 [Language: French]",7770
"Contes à Ninon, by Émile Zola                                             
 [Language: French]",7462
"Michel Strogoff, by Jules Verne                                           
 [Language: French]",7442
"Monsieur Bergeret à Paris, by Anatole France                              
 [Subtitle: Histoire Contemporaine]
 [Author a.k.a.: Jacques Anatole Thibault]
 [Language: French]",7268
"Sur la pierre blanche, by Anatole France                                  
 [Language: French]",7173
"Han d'Islande, by Victor Hugo                                             
 [Language: French]",6994
"Le Dernier Jour d'un Condamné, by Victor Hugo                             
 [Language: French]",6838
"La Faute de l'Abbé Mouret, by Émile Zola                                  
 [Language: French]",6558
"Supplement au Voyage de Bougainville, by Denis Diderot                    
 [Language: French]",6501
"Le Ventre de Paris, by Émile Zola                                         
 [Language: French]",6470
"Thaïs, by Anatole France                                                  
 [Language: French]",6377
"Bric-à-brac, by Alexandre Dumas                                           
 [Language: French]",6319
"L'homme qui rit, by Victor Hugo                                           
 [Language: French]",5423
"Le Jardin d'Epicure, by Anatole France                                    
 [Language: French]",5147
"Le Monde comme il va, vision de Babouc, by Voltaire                       
 [Author a.k.a. Jean-Marie Arouet]
 [Language: French]",5138
"Robur-le-Conquerant, by Jules Verne                                       
 [Language: French]",5126
"Tartarin sur les Alpes, by Alphonse Daudet                                
 [Language: French]",5105
"Histoire d'un casse-noisette, by Alexandre Dumas                          
 [Language: French]",5104
"20000 Lieues sous les mers Parts 1 & 2, by Jules Verne                    
 [Language: French]",5097
"20000 Lieues sous les mers Part 2, by Jules Verne                         
 [Language: French]",5096
"20000 Lieues sous les mers Part 1, by Jules Verne                         
 [Language: French]",5095
"Le château des Carpathes, by Jules Verne                                  
 [Language: French]",5082
"Les Indes Noires, by Jules Verne                                          
 [Language: French]",5081
"Les Cinq Cents Millions de la Begum, by Jules Verne                       
 [Language: French]",4968
"Voyage au Centre de la Terre, by Jules Verne                              
 [Language: French]",4791
"Jeannot et Colin, by Voltaire                                             
 [Language: French]",4772
"Le Blanc et le Noir, by Voltaire                                          
 [Language: French]",4771
"Histoire des Voyages de Scarmentado, by Voltaire                          
 [Subtitle:  Romans Vol. 6]
 [Language: French]",4718
"Autour de la Lune, by Jules Verne                                         
 [Language: French]",4717
"L'Ingenu, Volume 5, by Voltaire                                           
 [Language: French]",4651
"Candide, Volume 4, by Voltaire                                            
 [Language: French]",4650
"Micromegas, Volume 3, by Voltaire                                         
 [Language: French]",4649
"Memnon, Volume 2, by Voltaire                                             
 [Language: French]",4648
"Zadig, Volume 1, by Voltaire                                              
 [Language: French]",4647
"Cinq Semaines En Ballon, by Jules Verne                                   
 [Language: French]",4548
"Vie de Molière, by Voltaire                                               
 [Language: French]",3644
"Tour Du Mond 80 Jours, by Jules Verne                                    
 [Language: French]",3456
"Henri III et sa Cour, by Alexandre Dumas, Pere                           
 [Language: French]",2682
"La Dame aux Camelias, by Alexandre Dumas                                 
 [Language: French]",2419
"La Tulipe Noire, by Alexandre Dumas, Pere                                
 [Language: French]",1910
"La Duchesse de Palliano, by Stendhal                                       
 [Language: French]",803
"Vittoria Accoramboni, Duchesse de Bracciano, by Stendhal                   
 [Language: French]",802
"Les Cenci, by Stendhal                                                     
 [Language: French]",801
"Le Tour du Monde en 80 Jours, by Jules Verne                               
 [Language: French]",800
"De La Terre a La Lune, by Jules Verne                                      
 [Language: French]",799
"Le Rouge et le Noir, by Stendhal                                           
 [Subtitle: Chronique du 19th siècle]
 [Language: French]",798
"L'Abbesse de Castro, by Stendhal                                           
 [Language: French]",797
"La Chartreuse de Parme, by Stendhal                                        
 [Author a.k.a. Marie-Henri Beyle]
 [Language: French]",796
